000009411,1436
000012028,220
000014263,1917
000014932,2149
000015175,400
000017912,2074
000025219,2476
000035309,2640
000039168,2900
000042096,2090
000042096,2100
000042096,2108
000042096,3226
000046164,2353
000050598,1697
000051259,2765
000051414,2533
000052356,2303
000057393,324
000059335,2506
000065686,2290
000066433,2773
000067905,2662
000067908,2567
000069225,2050
000070053,193
000077007,2279
000077376,3253
000083501,2269
000087953,3246
000104493,3245
000107456,2059
000107505,1892
000107507,154
000148852,2772
000150595,2622
000150765,2065
000152611,2034
000153545,671
000154548,2526
000154642,2484
000155277,1425
000155280,3012
000155283,437
000155284,2327
000155285,65
000156551,1611
000158640,861
000158644,479
000160033,1409
000160406,1905
000160496,966
000160527,1729
000160539,2332
000160718,219
000163085,738
000163405,1716
000165542,2382
000166379,464
000166740,2286
000167247,249
000167355,342
000167651,2333
000167680,1595
000168292,2411
000170732,2958
000171611,355
000172352,1297
000172403,2818
000172748,1594
000175325,345
000176133,926
000176134,1586
000178087,3068
000178400,468
000179172,965
000184912,2350
000186743,2438
000187572,3225
000188166,3125
000190454,3240
000194099,2205
000194611,2759
000194997,2412
000197124,1631
000201361,2982
000202768,275
000203979,741
000203986,714
000203990,818
000204052,1511
000206851,2287
000209401,2860
000209403,2983
000211223,122
000217293,2793
000223377,2133
000226154,165
000229036,2378
000229105,2368
000229330,2580
000229849,182
000230743,2322
000232208,325
000234323,305
000234946,2316
000236491,295
000250340,1597
000251571,1635
000252027,2608
000252311,1629
000252631,2817
000252796,3037
000252991,133
000257485,2541
000258862,2546
000261504,3154
000261608,2753
000261779,3241
000265440,1630
000268485,3187
000268488,2142
000268491,3052
000268499,3039
000269901,238
000271969,1424
000272616,1416
000273377,2886
000275151,2477
000276046,365
000280397,127
000284011,1835
000286884,2929
000289373,1618
000290825,1499
000291087,1845
000291103,239
000291107,1628
000291113,231
000291115,209
000291120,2638
000291133,2020
000291203,644
000291270,1637
000291274,2263
000291305,2308
000291310,2024
000291325,2373
000291332,2357
000291334,2559
000291380,2699
000291383,269
000291384,244
000291432,2750
000291612,94
000291963,911
000292009,481
000292088,916
000292149,1850
000292213,1751
000292537,921
000292696,759
000294074,2121
000294077,121
000294081,2089
000294082,414
000311272,1057
000313725,3031
000320567,703
000320573,116
000320641,2892
000320782,2897
000320808,2238
000320819,99
000320888,2696
000321352,848
000321384,726
000324840,3089
000326053,2849
000333051,2010
000334779,1623
000334857,306
000335544,2626
000335848,1854
000337623,3022
000340554,2497
000342346,2360
000342347,292
000343303,2281
000354085,1915
000357678,1648
000360238,2348
000362607,2055
000363966,331
000365537,3006
000368363,2282
000369593,2351
000373313,2455
000375664,234
000384206,2657
000387565,245
000400308,147
000400309,2555
000400752,3025
000400764,702
000400765,3038
000400767,3040
000400768,3041
000400770,3045
000400773,3049
000400774,3050
000401256,2176
000404908,2437
000405270,409
000405272,3053
000405273,3054
000408570,2658
000411904,2478
000412145,1810
000412215,2462
000412255,2122
000412259,2276
000412421,241
000412676,2285
000412837,2123
000412864,2552
000417757,2757
000419743,2902
000425040,2103
000429983,1998
000431563,1955
000431949,282
000432843,1822
000433245,2264
000433812,745
000434078,2504
000436083,2117
000437623,31
000438176,2743
000440969,2781
000449279,2001
000451556,169
000451583,181
000452544,2991
000453108,195
000453138,2782
000456004,1926
000456439,2564
000456771,1383
000456776,1737
000456782,1834
000456790,1757
000456803,251
000456817,803
000456821,2840
000456824,2697
000456828,2798
000456836,3218
000456848,399
000456904,3213
000456906,397
000456909,1516
000456915,649
000456924,1045
000456935,2984
000456936,2985
000456937,2986
000456938,2981
000456939,2988
000456941,450
000456948,72
000456949,2990
000456950,1634
000456955,3002
000456956,411
000456958,3004
000456966,3005
000456967,3009
000456968,3007
000456969,1507
000456972,775
000456985,3018
000456986,3019
000456987,3020
000456990,460
000456997,3023
000456998,3021
